occupants,timeStart,timeEnd,duration
1,2022-07-05 16:35:54,2022-07-05 16:46:50,657
2,2022-07-05 16:46:51,2022-07-05 16:49:33,163
1,2022-07-05 16:49:34,2022-07-05 16:50:03,30
2,2022-07-05 16:50:04,2022-07-05 16:50:10,7
3,2022-07-05 16:50:11,2022-07-05 16:51:09,59
4,2022-07-05 16:51:10,2022-07-05 16:51:12,3
5,2022-07-05 16:51:13,2022-07-05 16:51:15,3
4,2022-07-05 16:51:16,2022-07-05 16:53:37,142
3,2022-07-05 16:53:38,2022-07-05 16:53:39,2
2,2022-07-05 16:53:40,2022-07-05 16:54:27,48
3,2022-07-05 16:54:28,2022-07-05 16:55:30,63
4,2022-07-05 16:55:31,2022-07-05 16:55:58,28
5,2022-07-05 16:55:59,2022-07-05 16:57:20,82
4,2022-07-05 16:57:21,2022-07-05 16:57:21,1
3,2022-07-05 16:57:22,2022-07-05 16:57:36,15
2,2022-07-05 16:57:37,2022-07-05 16:57:55,19
3,2022-07-05 16:57:56,2022-07-05 16:59:37,102
2,2022-07-05 16:59:38,2022-07-05 17:03:42,245
3,2022-07-05 17:03:43,2022-07-05 17:06:17,155
4,2022-07-05 17:06:18,2022-07-05 17:09:19,182
5,2022-07-05 17:09:20,2022-07-05 17:10:01,42
4,2022-07-05 17:10:02,2022-07-05 17:10:12,11
5,2022-07-05 17:10:13,2022-07-05 17:10:45,33
4,2022-07-05 17:10:46,2022-07-05 17:11:19,34
5,2022-07-05 17:11:20,2022-07-05 17:11:20,1
6,2022-07-05 17:11:21,2022-07-05 17:12:35,75
5,2022-07-05 17:12:36,2022-07-05 17:13:49,74
6,2022-07-05 17:13:50,2022-07-05 17:16:04,135
7,2022-07-05 17:16:05,2022-07-05 17:17:31,87
8,2022-07-05 17:17:32,2022-07-05 17:18:00,29
7,2022-07-05 17:18:01,2022-07-05 17:18:14,14
6,2022-07-05 17:18:15,2022-07-05 17:19:21,67
5,2022-07-05 17:19:22,2022-07-05 17:21:24,123
4,2022-07-05 17:21:25,2022-07-05 17:22:17,53
3,2022-07-05 17:22:18,2022-07-05 17:22:28,11
