occupants,timeStart,timeEnd,duration
2,2022-07-05 19:26:04,2022-07-05 19:29:35,211
3,2022-07-05 19:26:33,2022-07-05 19:27:02,29
2,2022-07-05 19:27:05,2022-07-05 19:27:37,32
1,2022-07-05 19:27:40,2022-07-05 19:28:15,35
2,2022-07-05 19:29:33,2022-07-05 19:31:26,113
3,2022-07-05 19:29:50,2022-07-05 19:30:07,17
4,2022-07-05 19:30:10,2022-07-05 19:30:30,20
3,2022-07-05 19:33:31,2022-07-05 19:36:52,201
2,2022-07-05 19:36:10,2022-07-05 19:38:49,159
3,2022-07-05 19:39:17,2022-07-05 19:42:24,187
2,2022-07-05 19:39:32,2022-07-05 19:39:47,15
3,2022-07-05 19:41:54,2022-07-05 19:44:16,142
2,2022-07-05 19:42:54,2022-07-05 19:43:54,60
3,2022-07-05 19:43:57,2022-07-05 19:45:00,63
4,2022-07-05 19:44:09,2022-07-05 19:44:21,12
3,2022-07-05 19:45:50,2022-07-05 19:47:31,101
2,2022-07-05 19:46:06,2022-07-05 19:46:22,16
1,2022-07-05 19:50:07,2022-07-05 19:54:08,241
2,2022-07-05 19:52:46,2022-07-05 19:55:25,159
3,2022-07-05 19:53:00,2022-07-05 19:53:14,14
4,2022-07-05 19:53:30,2022-07-05 19:54:00,30
5,2022-07-05 19:53:55,2022-07-05 19:54:20,25
3,2022-07-05 19:53:59,2022-07-05 19:54:03,4
2,2022-07-05 19:54:39,2022-07-05 19:55:19,40
1,2022-07-05 19:55:52,2022-07-05 19:57:05,73
2,2022-07-05 19:56:30,2022-07-05 19:57:08,38
3,2022-07-05 19:57:51,2022-07-05 19:59:12,81
4,2022-07-05 19:57:58,2022-07-05 19:58:05,7
3,2022-07-05 19:59:58,2022-07-05 20:01:58,120
1,2022-07-05 20:05:45,2022-07-05 20:11:32,347
2,2022-07-05 20:07:03,2022-07-05 20:08:21,78
1,2022-07-05 20:10:20,2022-07-05 20:13:37,197
2,2022-07-05 20:19:26,2022-07-05 20:28:32,546
3,2022-07-05 20:20:39,2022-07-05 20:21:52,73
4,2022-07-05 20:20:43,2022-07-05 20:20:47,4
5,2022-07-05 20:21:26,2022-07-05 20:22:09,43
4,2022-07-05 20:21:28,2022-07-05 20:21:30,2
3,2022-07-05 20:29:14,2022-07-05 20:37:00,466
4,2022-07-05 20:30:14,2022-07-05 20:31:14,60
3,2022-07-05 20:35:26,2022-07-05 20:40:38,312
4,2022-07-05 20:36:27,2022-07-05 20:37:28,61
3,2022-07-05 20:45:44,2022-07-05 20:55:01,557
2,2022-07-05 20:53:01,2022-07-05 21:00:18,437
3,2022-07-05 20:53:15,2022-07-05 20:53:29,14
2,2022-07-05 20:58:03,2022-07-05 21:02:51,288
1,2022-07-05 20:58:46,2022-07-05 20:59:29,43
